group,ds,Sells,group's name
-1,2020-11-01,8745,poza klastrem
-1,2020-10-01,8084,poza klastrem
-1,2021-01-01,4961,poza klastrem
-1,2021-02-01,4497,poza klastrem
-1,2020-12-01,3425,poza klastrem
-1,2020-08-01,2455,poza klastrem
-1,2020-09-01,2313,poza klastrem
-1,2020-07-01,2274,poza klastrem
-1,2020-04-01,1898,poza klastrem
-1,2020-06-01,1718,poza klastrem
-1,2020-05-01,1699,poza klastrem
-1,2020-03-01,653,poza klastrem
-1,2019-11-01,123,poza klastrem
-1,2020-02-01,77,poza klastrem
-1,2019-10-01,47,poza klastrem
-1,2019-12-01,38,poza klastrem
-1,2019-05-01,32,poza klastrem
-1,2019-07-01,23,poza klastrem
-1,2019-08-01,23,poza klastrem
-1,2020-01-01,22,poza klastrem
-1,2018-02-01,16,poza klastrem
-1,2019-02-01,15,poza klastrem
-1,2019-04-01,15,poza klastrem
-1,2019-09-01,13,poza klastrem
-1,2019-03-01,12,poza klastrem
-1,2018-04-01,8,poza klastrem
-1,2019-06-01,7,poza klastrem
-1,2018-03-01,5,poza klastrem
-1,2018-07-01,1,poza klastrem
-1,2018-10-01,1,poza klastrem
-1,2018-12-01,1,poza klastrem
0,2020-08-01,32,fontanna do basenu
0,2020-05-01,24,fontanna do basenu
0,2020-07-01,19,fontanna do basenu
0,2020-06-01,18,fontanna do basenu
0,2020-04-01,15,fontanna do basenu
0,2019-04-01,9,fontanna do basenu
0,2019-05-01,8,fontanna do basenu
0,2020-02-01,8,fontanna do basenu
0,2020-09-01,7,fontanna do basenu
0,2019-06-01,6,fontanna do basenu
0,2020-11-01,5,fontanna do basenu
0,2020-12-01,5,fontanna do basenu
0,2020-10-01,4,fontanna do basenu
0,2021-01-01,4,fontanna do basenu
0,2020-03-01,3,fontanna do basenu
0,2021-02-01,3,fontanna do basenu
0,2019-03-01,2,fontanna do basenu
0,2019-09-01,2,fontanna do basenu
0,2019-01-01,1,fontanna do basenu
0,2019-07-01,1,fontanna do basenu
0,2019-10-01,1,fontanna do basenu
0,2019-11-01,1,fontanna do basenu
1,2020-11-01,6,przypinki
1,2019-11-01,4,przypinki
1,2019-12-01,4,przypinki
1,2020-10-01,4,przypinki
1,2021-01-01,4,przypinki
1,2019-05-01,3,przypinki
1,2019-07-01,3,przypinki
1,2019-08-01,3,przypinki
1,2020-01-01,3,przypinki
1,2020-06-01,3,przypinki
1,2019-02-01,2,przypinki
1,2020-02-01,2,przypinki
1,2021-02-01,2,przypinki
1,2018-12-01,1,przypinki
1,2019-06-01,1,przypinki
1,2019-09-01,1,przypinki
1,2019-10-01,1,przypinki
1,2020-12-01,1,przypinki
2,2020-09-01,42,stojak na buty
2,2020-08-01,31,stojak na buty
2,2020-07-01,29,stojak na buty
2,2020-10-01,26,stojak na buty
2,2020-04-01,20,stojak na buty
2,2019-11-01,17,stojak na buty
2,2020-11-01,16,stojak na buty
2,2020-05-01,15,stojak na buty
2,2019-05-01,14,stojak na buty
2,2020-06-01,14,stojak na buty
2,2020-01-01,13,stojak na buty
2,2020-02-01,13,stojak na buty
2,2019-08-01,12,stojak na buty
2,2021-02-01,12,stojak na buty
2,2020-03-01,11,stojak na buty
2,2020-12-01,11,stojak na buty
2,2018-11-01,10,stojak na buty
2,2021-01-01,10,stojak na buty
2,2018-12-01,9,stojak na buty
2,2019-03-01,9,stojak na buty
2,2019-09-01,9,stojak na buty
2,2019-12-01,8,stojak na buty
2,2019-07-01,6,stojak na buty
2,2018-10-01,5,stojak na buty
2,2019-04-01,4,stojak na buty
2,2019-06-01,4,stojak na buty
2,2019-01-01,3,stojak na buty
2,2019-10-01,3,stojak na buty
2,2018-09-01,2,stojak na buty
2,2019-02-01,2,stojak na buty
3,2020-11-01,51,puzzle
3,2021-01-01,51,puzzle
3,2021-02-01,23,puzzle
3,2020-12-01,13,puzzle
3,2020-10-01,5,puzzle
3,2019-02-01,4,puzzle
3,2019-03-01,4,puzzle
3,2019-06-01,2,puzzle
3,2019-11-01,2,puzzle
3,2020-01-01,2,puzzle
3,2020-03-01,2,puzzle
3,2019-04-01,1,puzzle
3,2019-09-01,1,puzzle
3,2019-10-01,1,puzzle
3,2019-12-01,1,puzzle
3,2020-02-01,1,puzzle
3,2020-09-01,1,puzzle
4,2020-05-01,10,ściana gabionowa
4,2020-07-01,8,ściana gabionowa
4,2020-09-01,8,ściana gabionowa
4,2020-04-01,7,ściana gabionowa
4,2020-02-01,6,ściana gabionowa
4,2020-06-01,5,ściana gabionowa
4,2020-08-01,5,ściana gabionowa
4,2020-10-01,5,ściana gabionowa
4,2019-09-01,4,ściana gabionowa
4,2020-03-01,4,ściana gabionowa
4,2021-02-01,3,ściana gabionowa
4,2019-11-01,2,ściana gabionowa
4,2020-01-01,2,ściana gabionowa
4,2019-07-01,1,ściana gabionowa
4,2019-08-01,1,ściana gabionowa
4,2020-11-01,1,ściana gabionowa
4,2021-01-01,1,ściana gabionowa
5,2021-01-01,41,zegar ścienny
5,2020-12-01,38,zegar ścienny
5,2020-11-01,32,zegar ścienny
5,2020-09-01,28,zegar ścienny
5,2020-02-01,26,zegar ścienny
5,2020-10-01,26,zegar ścienny
5,2020-03-01,24,zegar ścienny
5,2020-05-01,24,zegar ścienny
5,2019-12-01,21,zegar ścienny
5,2020-06-01,21,zegar ścienny
5,2020-04-01,19,zegar ścienny
5,2020-01-01,18,zegar ścienny
5,2021-02-01,18,zegar ścienny
5,2020-07-01,16,zegar ścienny
5,2020-08-01,16,zegar ścienny
5,2019-11-01,10,zegar ścienny
5,2019-03-01,9,zegar ścienny
5,2019-02-01,7,zegar ścienny
5,2019-05-01,6,zegar ścienny
5,2019-06-01,5,zegar ścienny
5,2019-08-01,5,zegar ścienny
5,2019-10-01,5,zegar ścienny
5,2019-07-01,4,zegar ścienny
5,2019-01-01,2,zegar ścienny
5,2019-04-01,2,zegar ścienny
5,2019-09-01,2,zegar ścienny
6,2021-01-01,100,dozownik mydła
6,2021-02-01,38,dozownik mydła
6,2020-12-01,25,dozownik mydła
6,2020-11-01,17,dozownik mydła
6,2020-02-01,12,dozownik mydła
6,2019-04-01,10,dozownik mydła
6,2019-03-01,8,dozownik mydła
6,2019-05-01,8,dozownik mydła
6,2019-08-01,7,dozownik mydła
6,2020-01-01,7,dozownik mydła
6,2020-08-01,7,dozownik mydła
6,2020-09-01,7,dozownik mydła
6,2020-10-01,7,dozownik mydła
6,2019-01-01,5,dozownik mydła
6,2019-02-01,5,dozownik mydła
6,2019-06-01,3,dozownik mydła
6,2019-10-01,3,dozownik mydła
6,2018-12-01,2,dozownik mydła
6,2019-07-01,2,dozownik mydła
6,2019-09-01,2,dozownik mydła
6,2019-11-01,2,dozownik mydła
6,2020-07-01,2,dozownik mydła
